"hotel_City Hotel","hotel_Resort Hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal_BB","meal_FB","meal_HB","meal_SC","country","market_segment_Aviation","market_segment_Complementary","market_segment_Corporate","market_segment_Direct","market_segment_Groups","market_segment_Offline TA/TO","market_segment_Online TA","distribution_channel_Corporate","distribution_channel_Direct","distribution_channel_GDS","distribution_channel_TA/TO","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type_No Deposit","deposit_type_Non Refund","deposit_type_Refundable","agent","company","days_in_waiting_list","customer_type_Contract","customer_type_Group","customer_type_Transient","customer_type_Transient-Party","adr","required_car_parking_spaces","total_of_special_requests"
1,0,1,0.139904610492846,3,2,7,17,0,0.0625,2,0,0,0,0,0,1,31,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.31004016064257,0,0
0,1,0,0.125596184419714,2,12,52,24,0.153846153846154,0.15625,2,0,0,0,0,1,0,42,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"156","0",0,0,0,1,0,0.222048192771084,0,2
1,0,0,0.0651828298887122,1,8,34,15,0.0769230769230769,0.0625,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"28","0",0,0,0,1,0,0.299196787148594,0,0
1,0,1,0.379968203497615,2,10,42,17,0,0.03125,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,0,1,0,"1","0",0,0,0,1,0,0.232931726907631,0,0
0,1,0,0.0365659777424483,3,4,16,20,0,0.0625,2,0,0,1,0,0,0,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,"0","0",0,0,0,0,1,0.389558232931727,1,0
0,1,0,0.0540540540540541,1,12,50,9,0,0.03125,2,0,0,1,0,0,0,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,"240","0",0,0,0,1,0,0.184738955823293,0,1
1,0,1,0.0604133545310016,1,5,19,6,0.153846153846154,0.09375,2,1,0,0,0,1,0,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.593092369477912,0,0
1,0,0,0.254372019077901,3,7,28,15,0.153846153846154,0.15625,2,0,0,1,0,0,0,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"7","0",0,0,0,1,0,0.306626506024096,0,1
0,1,0,0.0508744038155803,1,10,44,27,0.153846153846154,0.15625,2,0,0,1,0,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,6,0,1,0,0,"250","0",0,0,0,1,0,0.360843373493976,1,0
0,1,0,0.0890302066772655,1,3,14,29,0,0.125,2,0,0,1,0,0,0,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"240","0",0,0,0,1,0,0.224899598393574,1,1
1,0,1,0.154213036565978,2,10,41,5,0.0769230769230769,0.09375,1,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"29","0",0,0,0,1,0,0.55421686746988,0,0
0,1,0,0.135135135135135,3,4,16,19,0.0769230769230769,0.125,2,0,0,1,0,0,0,114,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,5,2,1,0,0,"0","0",0,0,0,0,1,0.291566265060241,0,1
1,0,0,0.441971383147854,3,7,30,26,0,0.125,3,0,0,1,0,0,0,31,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,1,0,0,"9","0",0,0,0,1,0,0.657028112449799,0,2
1,0,1,0.278219395866455,1,8,33,10,0,0.125,2,0,0,1,0,0,0,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.39136546184739,0,0
1,0,1,0.041335453100159,3,5,21,22,0.0769230769230769,0.03125,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"3","0",0,0,0,1,0,0.506024096385542,0,0
1,0,1,0.572337042925278,2,10,42,12,0.0769230769230769,0.03125,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,0,1,0,"1","0",0,1,0,0,0,0.240963855421687,0,0
0,1,1,0.600953895071542,1,11,45,1,0,0.0625,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"248","0",0,0,0,1,0,0.176706827309237,0,0
1,0,0,0.0508744038155803,1,1,5,24,0.153846153846154,0.03125,2,0,0,1,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,"38","0",0.0383631713554987,0,0,0,1,0.248995983935743,0,0
1,0,0,0.00635930047694754,2,8,35,25,0,0.125,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"1","0",0,0,0,0,1,0.240963855421687,0,0
1,0,1,0.284578696343402,1,7,27,1,0,0.0625,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"1","0",0,0,0,1,0,0.253012048192771,0,0
1,0,0,0.554848966613672,1,10,41,4,0.0769230769230769,0.15625,2,0,0,1,0,0,0,31,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"58","0",0.414322250639386,0,0,0,1,0.487269076305221,0,0
1,0,0,0.0747217806041336,1,2,8,18,0,0.09375,2,0,0,1,0,0,0,85,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,1,0,0,"9","0",0,0,0,1,0,0.354618473895582,0,0
1,0,0,0.376788553259142,2,9,38,14,0.0769230769230769,0.0625,1,0,0,1,0,0,0,31,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,0,1,0.316265060240964,0,0
1,0,0,0.0492845786963434,1,9,40,27,0,0.03125,2,0,0,1,0,0,0,111,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,"9","0",0,0,0,1,0,0.497991967871486,0,0
1,0,0,0.251192368839428,1,7,27,1,0.0769230769230769,0.0625,2,2,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,6,0,1,0,0,"9","0",0,0,0,1,0,0.667871485943775,0,1
1,0,0,0.0397456279809221,1,12,51,13,0,0.125,1,0,0,1,0,0,0,38,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"8","0",0,0,0,1,0,0.31285140562249,0,1
1,0,0,0.613672496025437,1,10,44,23,0.153846153846154,0,2,0,0,0,0,1,0,31,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"6","0",0,0,0,0,1,0.453815261044177,0,1
0,1,0,0.0158982511923688,1,9,38,13,0,0.0625,2,0,0,1,0,0,0,108,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"240","0",0,0,0,1,0,0.429718875502008,0,0
1,0,0,0.120826709062003,1,3,13,20,0.153846153846154,0.09375,2,0,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,1,1,0,0,"9","0",0,0,0,1,0,0.43433734939759,0,1
1,0,0,0.0667726550079491,3,4,16,21,0.0769230769230769,0.0625,2,0,0,1,0,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,1,0,0,"9","0",0,0,0,1,0,0.621164658634538,0,2
0,1,1,0.333863275039746,1,8,35,22,0.230769230769231,0.25,2,0,0,0,0,1,0,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,1,0,0,"240","0",0,0,0,1,0,0.765983935742972,0,2
1,0,0,0.00635930047694754,1,6,27,26,0.153846153846154,0,1,0,0,0,0,0,1,85,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.44578313253012,0,1
1,0,0,0.0524642289348172,1,5,23,29,0.153846153846154,0.03125,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"42","0",0,0,0,1,0,0.335341365461847,0,0
1,0,0,0.0111287758346582,1,12,51,17,0.0769230769230769,0.03125,2,0,0,0,0,0,1,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.305220883534137,0,1
1,0,0,0.0333863275039746,2,12,51,17,0,0.0625,1,0,0,1,0,0,0,92,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,"0","40",0,0,0,0,1,0.253012048192771,0,0
1,0,1,0.254372019077901,2,12,53,30,0,0.09375,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"3","0",0.283887468030691,0,0,0,1,0.273092369477912,0,0
0,1,0,0.0445151033386327,1,5,21,19,0.153846153846154,0.15625,3,0,0,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"8","0",0,0,0,1,0,0.31285140562249,0,2
1,0,1,0.435612082670906,2,7,29,18,0.153846153846154,0.0625,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,1,0,0,"1","0",0,0,0,0,1,0.240963855421687,0,0
1,0,1,0.246422893481717,3,7,29,17,0.0769230769230769,0.03125,2,0,0,0,0,0,1,114,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.349799196787149,0,1
0,1,1,0.0763116057233704,1,9,40,30,0.153846153846154,0.09375,2,0,0,1,0,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,1,0,0,"240","0",0,0,0,1,0,0.421686746987952,0,0
0,1,0,0.0397456279809221,1,1,3,14,0,0.0625,2,2,0,1,0,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,7,0,1,0,0,"240","0",0,0,0,1,0,0.309236947791165,0,1
0,1,0,0.24483306836248,1,7,29,11,0.0769230769230769,0.0625,2,0,0,1,0,0,0,71,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,"327","0",0,0,0,1,0,0.252208835341365,0,0
1,0,1,0.00158982511923688,2,12,53,29,0,0.125,2,0,1,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,1,0,0,"29","0",0,0,0,1,0,0.283132530120482,0,2
1,0,1,0.578696343402226,2,10,42,16,0,0.0625,2,0,0,0,0,1,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,0,1,0,"6","0",0,0,0,0,1,0.399598393574297,0,0
1,0,0,0.0286168521462639,1,12,51,11,0.0769230769230769,0,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"378","0",0,0,0,0,1,0.313253012048193,0,0
1,0,1,0.0333863275039746,3,1,1,2,0.0769230769230769,0.09375,2,0,0,1,0,0,0,64,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.353815261044177,0,2
1,0,1,0.0238473767885533,3,2,7,17,0,0.0625,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"19","0",0,0,0,1,0,0.373493975903614,0,0
1,0,0,0.0349761526232114,3,3,11,16,0.153846153846154,0.15625,2,0,0,1,0,0,0,42,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"85","0",0,0,0,1,0,0.265060240963855,0,1
0,1,1,0.127186009538951,3,8,34,26,0.153846153846154,0.0625,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,0,1,0,0,"40","0",0,1,0,0,0,0.534136546184739,0,1
1,0,1,0.0397456279809221,2,12,50,8,0,0.0625,1,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,0,1,0,"19","0",0,0,0,1,0,0.353413654618474,0,0
0,1,0,0.260731319554849,2,11,46,9,0.153846153846154,0.15625,2,0,0,0,0,1,0,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,"240","0",0,0,0,1,0,0.237751004016064,1,0
1,0,0,0.109697933227345,1,5,20,14,0.153846153846154,0.03125,3,0,0,1,0,0,0,31,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,"9","0",0,0,0,1,0,0.631726907630522,0,1
0,1,0,0.00476947535771065,1,5,21,20,0,0.0625,2,0,0,1,0,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6,0,1,0,0,"240","0",0,0,0,1,0,0.349397590361446,0,0
0,1,1,0.327503974562798,1,3,13,21,0.153846153846154,0.15625,2,0,0,1,0,0,0,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"240","0",0,0,0,1,0,0.163413654618474,0,1
1,0,1,0.249602543720191,3,5,18,1,0.0769230769230769,0.09375,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"3","0",0,0,0,1,0,0.514056224899598,0,0
1,0,0,0.0476947535771065,1,5,21,21,0.153846153846154,0.0625,2,1,0,1,0,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,0,0,"9","0",0,0,0,1,0,0.528433734939759,0,0
1,0,0,0.00158982511923688,3,5,19,9,0,0.03125,1,0,0,0,0,0,1,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"10","0",0,0,0,1,0,0.373493975903614,0,0
0,1,0,0.0508744038155803,1,4,17,19,0.153846153846154,0.15625,2,0,0,0,0,1,0,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,4,0,1,0,0,"273","0",0,0,0,0,1,0.145461847389558,0,0
0,1,0,0.0842607313195548,1,6,24,7,0,0.0625,2,0,0,1,0,0,0,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"240","0",0,0,0,1,0,0.51004016064257,0,1
1,0,1,0.483306836248013,1,11,45,3,0,0.09375,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"21","0",0,0,0,1,0,0.349397590361446,0,0
1,0,0,0.201907790143084,3,7,30,25,0,0.09375,2,0,0,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,0,1,0,0,"16","0",0,0,0,1,0,0.385943775100402,0,0
0,1,0,0,3,1,3,17,0,0.03125,1,0,0,1,0,0,0,37,0,0,0,1,0,0,0,0,1,0,0,1,0,0.0178571428571429,1,1,0,1,0,0,"0","0",0,0,0,1,0,0.220883534136546,0,0
1,0,1,0.179650238473768,1,9,37,7,0.0769230769230769,0.125,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"6","0",0,0,0,1,0,0.469076305220884,0,0
1,0,0,0.432432432432432,3,7,28,12,0,0.09375,2,2,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,6,3,1,0,0,"9","0",0,0,0,0,1,0.711244979919679,0,2
1,0,1,0.0174880763116057,1,11,45,5,0,0.03125,2,1,0,1,0,0,0,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.594377510040161,0,1
1,0,1,0.155802861685215,2,11,48,23,0.0769230769230769,0.0625,1,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"37","0",0,0,0,0,1,0.273092369477912,0,0
1,0,1,0.46422893481717,2,8,32,5,0,0.0625,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,0,1,0,"1","0",0,0,0,0,1,0.240963855421687,0,0
1,0,0,0.0254372019077901,1,12,50,4,0.153846153846154,0,2,1,0,1,0,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.469076305220884,0,1
1,0,0,0.111287758346582,1,4,17,22,0.153846153846154,0.0625,2,0,0,1,0,0,0,85,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.38285140562249,0,0
0,1,1,0.0779014308426073,2,7,30,20,0.230769230769231,0.1875,2,0,0,0,1,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,0,1,0,0,"15","0",0,0,0,1,0,0.43855421686747,0,0
1,0,1,0.602543720190779,2,10,44,31,0.0769230769230769,0.03125,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,0,1,0,"1","0",0,0,0,1,0,0.240963855421687,0,0
0,1,1,0.45945945945946,3,7,30,25,0,0.125,2,1,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,5,0,1,0,0,"240","0",0,0,0,1,0,0.685943775100402,0,0
0,1,1,0.171701112877583,1,4,18,29,0.153846153846154,0.0625,2,0,0,0,0,1,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"0","0",0,0,0,1,0,0.329317269076305,0,0
0,1,0,0.203497615262321,1,12,50,8,0,0.09375,2,0,0,1,0,0,0,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,1,0,0,"241","0",0,0,0,1,0,0.136706827309237,0,2
0,1,0,0.0286168521462639,1,4,15,9,0.153846153846154,0.09375,1,0,0,1,0,0,0,42,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"40","0",0,1,0,0,0,0.12570281124498,0,0
0,1,1,0.0731319554848967,3,8,32,12,0.153846153846154,0.15625,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"261","0",0,0,0,1,0,0.843373493975904,0,0
1,0,0,0.00635930047694754,2,8,33,11,0,0.15625,2,0,0,1,0,0,0,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,1,0,0,0,0.353413654618474,0,2
1,0,1,0.527821939586645,3,4,16,22,0.0769230769230769,0.03125,2,1,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.494377510040161,0,0
1,0,0,0.0445151033386327,3,2,7,13,0.0769230769230769,0.0625,2,0,0,1,0,0,0,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,1,0,0,"28","0",0,0,0,1,0,0.293172690763052,0,0
0,1,0,0.00158982511923688,2,10,42,13,0,0.03125,2,0,0,1,0,0,0,114,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,1,1,0,0,"240","0",0,0,0,1,0,0.257028112449799,0,1
1,0,0,0.0842607313195548,2,10,41,9,0.0769230769230769,0.0625,2,0,0,1,0,0,0,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,1,0,0,0,0.3714859437751,0,0
0,1,1,0.41335453100159,2,12,52,20,0.307692307692308,0.28125,1,0,0,1,0,0,0,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,1,0,0,"240","0",0,0,0,1,0,0.18289156626506,0,1
0,1,0,0.263910969793323,1,8,35,27,0.153846153846154,0.0625,1,0,0,1,0,0,0,42,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"171","0",0,0,0,0,1,0.396787148594378,0,0
1,0,0,0.120826709062003,3,7,29,16,0.153846153846154,0.09375,2,0,0,1,0,0,0,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,"14","0",0,0,0,1,0,0.42570281124498,0,0
1,0,0,0.00158982511923688,2,8,33,9,0.0769230769230769,0,2,2,0,1,0,0,0,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,6,0,1,0,0,"9","0",0,0,0,1,0,0.606425702811245,0,2
1,0,0,0.273449920508744,3,4,15,13,0,0.09375,2,1,0,1,0,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.606425702811245,0,2
1,0,0,0.00317965023847377,1,3,13,20,0.153846153846154,0.125,2,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"220","0",0,0,0,0,1,0.333333333333333,0,0
0,1,0,0.00635930047694754,3,6,23,6,0,0.09375,1,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,1,0,0.0535714285714286,1,1,0,1,0,0,"146","0",0,0,0,1,0,0.42570281124498,0,2
1,0,0,0.278219395866455,3,8,35,31,0.0769230769230769,0.09375,2,0,0,1,0,0,0,85,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,"42","0",0,0,0,1,0,0.340763052208835,0,2
0,1,0,0.00317965023847377,2,10,41,9,0,0.03125,1,0,0,1,0,0,0,92,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0178571428571429,1,4,0,1,0,0,"0","86",0,0,0,1,0,0.184738955823293,0,0
0,1,0,0.0127186009538951,2,7,28,7,0,0.125,3,2,0,1,0,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,8,2,1,0,0,"240","0",0,0,0,1,0,0.76706827309237,0,1
0,1,1,0.744038155802862,1,5,20,12,0,0.0625,2,0,0,0,0,1,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,1,0,0,"249","0",0,0,0,0,1,0.261044176706827,0,0
0,1,0,0.0572337042925278,1,6,24,9,0,0.09375,2,1,0,1,0,0,0,37,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,7,0,1,0,0,"241","0",0,0,0,1,0,0.606546184738956,1,1
1,0,1,0.416534181240064,2,11,46,9,0.0769230769230769,0.0625,2,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0.0384615384615385,0,1,1,0,0,1,0,"1","0",0,0,0,1,0,0.244176706827309,0,0
1,0,1,0.144674085850556,1,3,12,18,0,0.0625,1,0,0,1,0,0,0,92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"29","0",0.051150895140665,0,0,1,0,0.293172690763052,0,0
1,0,0,0.0794912559618442,1,4,16,12,0,0.09375,2,1,0,0,0,1,0,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,1,0,0,"9","0",0,0,0,1,0,0.651606425702811,0,2
1,0,0,0.0508744038155803,1,10,43,22,0.153846153846154,0.15625,2,0,0,1,0,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,"0","0",0,0,0,1,0,0.465863453815261,0,2
1,0,1,0.0302066772655008,2,10,41,6,0,0.09375,1,0,0,1,0,0,0,92,0,0,0,0,0,1,0,0,0,0,1,1,0.0384615384615385,0,1,1,0,0,1,0,"82","0",0,0,0,1,0,0.313253012048193,0,0
1,0,0,0.0969793322734499,1,4,18,30,0.0769230769230769,0.03125,2,0,0,1,0,0,0,37,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,1,0,0,"85","0",0,0,0,1,0,0.352409638554217,0,1
1,0,0,0.472178060413355,3,7,29,21,0.153846153846154,0.0625,2,1,0,1,0,0,0,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,"14","0",0,0,0,1,0,0.402008032128514,0,0
1,0,0,0.208267090620032,3,6,23,8,0,0.09375,2,0,0,1,0,0,0,114,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.570281124497992,0,1
